Countries,country_code,Indicies,Date,Value,Year,Month,Alpha-3 code
Estonia,939,Equity,1995-05-01,,1995,5,EST
Estonia,939,Debt,1995-05-01,,1995,5,EST
Latvia,941,Total,1995-05-01,,1995,5,LVA
Latvia,941,Equity,1995-05-01,,1995,5,LVA
Latvia,941,Debt,1995-05-01,,1995,5,LVA
Serbia,942,Total,1995-05-01,,1995,5,SRB
Serbia,942,Equity,1995-05-01,,1995,5,SRB
Serbia,942,Debt,1995-05-01,,1995,5,SRB
Hungary,944,Total,1995-05-01,,1995,5,HUN
Hungary,944,Equity,1995-05-01,,1995,5,HUN
Hungary,944,Debt,1995-05-01,,1995,5,HUN
Lithuania,946,Total,1995-05-01,,1995,5,LTU
Lithuania,946,Equity,1995-05-01,,1995,5,LTU
Lithuania,946,Debt,1995-05-01,,1995,5,LTU
Mongolia,948,Total,1995-05-01,,1995,5,MNG
Mongolia,948,Equity,1995-05-01,,1995,5,MNG
Mongolia,948,Debt,1995-05-01,,1995,5,MNG
Slovenia,961,Total,1995-05-01,,1995,5,SVN
Slovenia,961,Equity,1995-05-01,,1995,5,SVN
Slovenia,961,Debt,1995-05-01,,1995,5,SVN
Croatia,960,Total,1995-05-01,,1995,5,HRV
Croatia,960,Equity,1995-05-01,,1995,5,HRV
Croatia,960,Debt,1995-05-01,,1995,5,HRV
North Macedonia,962,Total,1995-05-01,,1995,5,MKD
North Macedonia,962,Equity,1995-05-01,,1995,5,MKD
North Macedonia,962,Debt,1995-05-01,,1995,5,MKD
Poland,964,Total,1995-05-01,,1995,5,POL
Poland,964,Equity,1995-05-01,,1995,5,POL
Poland,964,Debt,1995-05-01,,1995,5,POL
Romania,968,Total,1995-05-01,,1995,5,ROU
Romania,968,Equity,1995-05-01,,1995,5,ROU
Romania,968,Debt,1995-05-01,,1995,5,ROU
Emerging Markets,200,Total,1995-06-01,2452.1795831399004,1995,6,
Emerging Markets,200,Equity,1995-06-01,590.3803491356947,1995,6,
Emerging Markets,200,Debt,1995-06-01,1861.7992340042058,1995,6,
Turkey,186,Total,1995-06-01,13,1995,6,TUR
Turkey,186,Equity,1995-06-01,0,1995,6,TUR
Turkey,186,Debt,1995-06-01,13,1995,6,TUR
South Africa,199,Total,1995-06-01,194.43458313990016,1995,6,ZAF
South Africa,199,Equity,1995-06-01,233.48534913569472,1995,6,ZAF
South Africa,199,Debt,1995-06-01,-39.050765995794556,1995,6,ZAF
Brazil,223,Total,1995-06-01,2102.445,1995,6,BRA
Brazil,223,Equity,1995-06-01,-62.105,1995,6,BRA
Brazil,223,Debt,1995-06-01,2164.55,1995,6,BRA
Chile,228,Total,1995-06-01,,1995,6,CHL
Chile,228,Equity,1995-06-01,,1995,6,CHL
Chile,228,Debt,1995-06-01,,1995,6,CHL
Mexico,273,Total,1995-06-01,,1995,6,MEX
Mexico,273,Equity,1995-06-01,,1995,6,MEX
Mexico,273,Debt,1995-06-01,-1069.2,1995,6,MEX
Lebanon,446,Total,1995-06-01,,1995,6,LBN
Lebanon,446,Equity,1995-06-01,,1995,6,LBN
Lebanon,446,Debt,1995-06-01,,1995,6,LBN
Sri Lanka,524,Total,1995-06-01,,1995,6,LKA
Sri Lanka,524,Equity,1995-06-01,,1995,6,LKA
Sri Lanka,524,Debt,1995-06-01,,1995,6,LKA
India,534,Total,1995-06-01,,1995,6,IND
India,534,Equity,1995-06-01,,1995,6,IND
